,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,normed mean happiness,gender category
SeeminglyWholesomeFiftiesGirl,"['Seemingly', 'Wholesome', 'Fifties', 'Girl']",['girl'],[7.0],"['seemingly', 'wholesome', 'fifties']",,[2],happy,"['AdverblyAdjectiveNoun', 'AlwaysFemale', 'TheFifties', 'LivingADoubleLife', 'LoveInterests', 'MakingLoveInAllTheWrongPlaces', 'WomanlinessAsPathos', 'WomenAreDelicate']",[],7.0,female
EmotionlessGirl,"['Emotionless', 'Girl']",['girl'],[7.0],['emotionless'],TopicalTropes,[2],happy,"['AdaptationDecay', 'AlwaysFemale', 'AmbiguousDisorder', 'BFG', 'BreakTheHaughty', 'BrokenBird', 'ChickMagnet', 'ChildSoldiers', 'ChronicHeroSyndrome', 'TheComicallySerious', 'ContrastingSequelMainCharacter', 'CreepyChild', 'CrouchingMoronHiddenBadass', 'CuteMonsterGirl', 'DarkFic', 'DarkReprise', 'DeconstructedCharacterArchetype', 'DeconstructorFleet', 'DefrostingIceQueen', 'DivergentCharacterEvolution', 'EmotionTropes', 'EyesAlwaysShut', 'Fanvid', 'Flanderization', 'FourTemperamentEnsemble', 'HaremGenre', 'HiddenDepths', 'HorrorWebcomics', 'HumanoidAbomination', 'HumansAreTheRealMonsters', 'IJustWantToBeNormal', 'IceQueen', 'IntroversionTropes', 'ItsAWonderfulPlot', 'LaughterTropes', 'LoveAtFirstSight', 'ManOfAThousandVoices', 'MemeticPersonalityChange', 'MotorMouth', 'NeverTrustATrailer', 'OncePerEpisode', 'OverdosedTropes', 'PlayingWithFire', 'RagtagBunchOfMisfits', 'RousingSpeech', 'SlasherSmile', 'TheStoic', 'StoicWoobie', 'SuperSoldier', 'WarIsHell', 'WomenAreDelicate', 'YouGottaHaveBlueHair']",['TopicalTropes'],7.0,female
DoubleStandardRapeFemaleOnMale,"['Double', 'Standard', 'Rape', 'Female', 'On', 'Male']","['rape', 'female']","[1.44, 6.88]","['double', 'standard', 'on', 'male']",,"[-4, 2]",not happy,"['ARareSentence', 'AbhorrentAdmirer', 'AnArmAndALeg', 'ArtisticLicenseLaw', 'AuthorTract', 'BeautyEqualsGoodness', 'BizarreAlienReproduction', 'DoubleStandard', 'DoubleStandardAbuseFemaleOnMale', 'TheEighties', 'GenderDynamicsIndex', 'HappinessInSlavery', 'HaremGenre', 'MasculineGirlFeminineBoy', 'MasculinityTropes', 'MenAreTough', 'ReplacementGoldfish', 'RightForTheWrongReasons', 'SexualHarassmentAndRapeTropes', 'SquarePegRoundTrope', 'TropesAboutPerverts', 'UndeadHorseTrope', 'TheUnfairSex', 'UnfortunateImplications', 'WomanlinessAsPathos', 'WomenAreDelicate', 'WoundedGazelleGambit']","['NarrativeTropes', 'TopicalTropes']",4.16,
AffirmativeActionGirl,"['Affirmative', 'Action', 'Girl']",['girl'],[7.0],"['affirmative', 'action']",,[2],happy,"['ActionGirl', 'AscendedExtra', 'BreakoutCharacter', 'CanonForeigner', 'CharactersAndCasting', 'DoubleStandard', 'EveryoneCanSeeIt', 'GenderAndSexualityTropes', 'JustForPun', 'PatchworkKids', 'RedEyesTakeWarning', 'Retool', 'TheSmurfettePrinciple', 'TokenIndex', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.0,female
NiceJewishBoy,"['Nice', 'Jewish', 'Boy']",['nice'],[7.38],"['jewish', 'boy']",,[2],happy,"['ANiceJewishIndex', 'APoliteIndex', 'AlwaysMale', 'CharactersAsDevice', 'EntertaininglyWrong', 'NationalStereotypes', 'NiceGuy', 'OlderThanFeudalism', 'SingleWomanSeeksGoodMan']","['NarrativeTropes', 'TopicalTropes']",7.38,male
BigBeautifulMan,"['Big', 'Beautiful', 'Man']",['beautiful'],[7.92],"['big', 'man']",,[3],happy,"['AlwaysMale', 'AttractionToOutliers', 'AttractionTropes', 'TheBeautifulTropes', 'BiggerIsBetter', 'CharactersAsDevice', 'DistaffCounterpart', 'Fanservice', 'FatBastard', 'GenderAndSexualityTropes', 'HighFatIndex', 'JustForPun', 'QueerAsTropes']","['NarrativeTropes', 'TopicalTropes']",7.92,male
BastardBoyfriend,"['Bastard', 'Boyfriend']",['bastard'],[2.52],['boyfriend'],,[-3],not happy,"['AbandonShipping', 'AbuseTropes', 'AllGirlsWantBadBoys', 'AlwaysMale', 'AssShove', 'AttractionToOutliers', 'BoysLoveTropes', 'CharactersAsDevice', 'DarkFic', 'DeliberateValuesDissonance', 'DesignatedVillain', 'DistaffCounterpart', 'DoubleStandard', 'DracoInLeatherPants', 'DysfunctionalFamilyIndex', 'DysfunctionalRomanceIndex', 'Eagleland', 'EvilIsSexy', 'FallenHero', 'Fanservice', 'FanserviceCharacters', 'GlassesTropes', 'HappinessInSlavery', 'HaremGenre', 'HeelRealization', 'TheJerkIndex', 'LoveInterests', 'MakingLoveInAllTheWrongPlaces', 'MenAreTough', 'OnlySaneMan', 'PeripheryDemographic', 'RomanceNovelTropes', 'RomanticismVersusEnlightenment', 'RonTheDeathEater', 'SadismIndex', 'SexualHarassmentAndRapeTropes', 'ShoujoDemographic', 'StockJapaneseCharacters', 'StockParodyJokes', 'StockholmSyndrome', 'TragicKeepsake', 'TropesAboutPerverts', 'TheUnfairSex', 'Wimpification', 'WomenAreDelicate', 'YankTheDogsChain', 'YaoiGenre']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",2.52,male
SmittenTeenageGirl,"['Smitten', 'Teenage', 'Girl']",['girl'],[7.0],"['smitten', 'teenage']",,[2],happy,"['AgeInappropriateArt', 'AlwaysFemale', 'TheBully', 'CharacterFlawIndex', 'EvenTheGirlsWantHer', 'HaremGenre', 'ImmaturityTropes', 'LaughOfLove', 'LoveTropes', 'ObliviousToLove', 'ShoujoDemographic', 'TeenageTropes', 'WomanlinessAsPathos', 'Youngsters']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,female
HonoraryPrincess,"['Honorary', 'Princess']",['princess'],[7.08],['honorary'],,[2],happy,"['PrincessTropes', 'SpellMyNameWithAnS']",[],7.08,female
WomenPreferStrongMen,"['Women', 'Prefer', 'Strong', 'Men']","['women', 'prefer', 'strong']","[7.12, 6.52, 7.06]",['men'],,"[2, 1, 2]",happy,"['AllGirlsWantBadBoys', 'AlwaysChaoticEvil', 'AmazonChaser', 'DistaffCounterpart', 'HasAType', 'LoveTropes', 'MenAreTough', 'ShipTease', 'Stereotype', 'StrengthIndex']","['GenreTropes', 'TopicalTropes']",6.9,
BoyMeetsGirl,"['Boy', 'Meets', 'Girl']",['girl'],[7.0],"['boy', 'meets']",,[2],happy,"['AmericanMusic', 'BeginningTropes', 'BritCom', 'BritishSeries', 'CompletedFic', 'FantasyWebcomics', 'JustForPun', 'LoveTropes', 'MenActWomenAre', 'MetaWebcomics', 'MusicOfThe1980s', 'NotGoodWithRejection', 'OlderThanFeudalism', 'Pop', 'ReplacementGoldfish', 'RomanceArc', 'RomanceNovel', 'SciFiWebcomics', 'SeriesOfThe2010s', 'SignatureStyle', 'Spring2013Anime', 'StarCrossedLovers', 'StickFigureComic']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,
GyaruGirl,"['Gyaru', 'Girl']",['girl'],[7.0],['gyaru'],,[2],happy,"['AlwaysFemale', 'BestKnownForTheFanservice', 'TheExoticDetective', 'FauxAffablyEvil', 'JapaneseMediaTropes', 'StockJapaneseCharacters', 'Summer2015Anime', 'YuriGenre']",[],7.0,female
ParentingTheHusband,"['Parenting', 'The', 'Husband']",['husband'],[6.62],"['parenting', 'the']",,[1],happy,"['DoubleStandard', 'DysfunctionalFamilyIndex', 'GenderDynamicsIndex', 'ImmaturityTropes', 'ManChild', 'MarriageTropes', 'MenAreTough']","['NarrativeTropes', 'TopicalTropes']",6.62,male
PrincessInRags,"['Princess', 'In', 'Rags']","['princess', 'rags']","[7.08, 3.88]",['in'],TopicalTropes,"[2, -1]",happy,"['TheGildedAge', 'PovertyTropes', 'PrincessTropes', 'RoyaltyAndNobilityTropes', 'ThisUsedToBeAnIndex']",['TopicalTropes'],5.48,female
ActionGirl,"['Action', 'Girl']",['girl'],[7.0],['action'],,[2],happy,"['ADateWithRosiePalms', 'ADayInTheLimelight', 'AbhorrentAdmirer', 'AcceptableFeminineGoalsAndTraits', 'ActionAdventureTropes', 'ActionGirl', 'AdaptationDecay', 'AdaptationExpansion', 'AdaptationNameChange', 'AdaptationPersonalityChange', 'AdaptationalBadass', 'AdaptationalWimp', 'AgeDissonantIndex', 'TheAllegedCar', 'AlternateCompanyEquivalent', 'AlternateIdentityAmnesia', 'AlternativeComics', 'AlwaysFemale', 'AlwaysSomeoneBetter', 'AmazonChaser', 'AnArmAndALeg', 'Analysis', 'AnimalMotifs', 'AnimeHair', 'AntiHero', 'ApocalypticLog', 'ArchEnemy', 'TheArtifact', 'ArtificialLimbs', 'AssShove', 'AttackAnimal', 'AuthorAppeal', 'BMovie', 'BadassFamily', 'BaitAndSwitch', 'BareYourMidriff', 'BattleCouple', 'BeamMeUpScotty', 'BestKnownForTheFanservice', 'BewareTheSillyOnes', 'Bifauxnen', 'TheBigGuy', 'Blaxploitation', 'BloodKnight', 'BodyguardCrush', 'BondOneLiner', 'CainAndAbel', 'CareerResurrection', 'CharClone', 'CharactersAsDevice', 'Chuunibyou', 'ClingyJealousGirl', 'TheComicallySerious', 'ContrastingSequelMainCharacter', 'CoolSword', 'CoversAlwaysLie', 'CrackPairing', 'CruelMercy', 'CrypticConversation', 'CursedWithAwesome', 'CyclicTrope', 'DaintyCombat', 'DanBrowned', 'DeaderThanDisco', 'DeathFromAbove', 'DeathIsCheap', 'DeconstructorFleet', 'Defictionalization', 'DefrostingIceQueen', 'DeliberateValuesDissonance', 'DelicateIsBeautiful', 'DemonicPossession', 'DevelopersForesight', 'DiesDifferentlyInAdaptation', 'DieselPunk', 'DisneyDeath', 'DisneyVillainDeath', 'Disneyfication', 'DistaffCounterpart', 'DistancedFromCurrentEvents', 'DistressedDude', 'DoubleStandard', 'DualWielding', 'DysfunctionalRomanceIndex', 'EmbellishedWebcomics', 'EndOfAnAge', 'EntertaininglyWrong', 'EvenBetterSequel', 'EvilGloating', 'EvilIsSexy', 'ExpositoryHairstyles', 'EyesAlwaysShut', 'TheFace', 'FailedASpotCheck', 'FairForItsDay', 'FallenHero', 'FanserviceCostumes', 'FantasticComedy', 'FantasyGunControl', 'FantasyWebcomics', 'Fanvid', 'FictionalDocument', 'FilmsOfThe1970s', 'FishOutOfTemporalWater', 'FishOutOfWater', 'FiveManBand', 'FountainOfExpies', 'FreudianExcuseIsNoExcuse', 'FriendToAllChildren', 'Gamebooks', 'GenderAndSexualityTropes', 'GenderBender', 'GenderDynamicsIndex', 'GeniusBruiser', 'GilliganCut', 'GirlyGirl', 'GiveGeeksAChance', 'GlassCannon', 'Goth', 'HairTropes', 'HaremGenre', 'HasAType', 'HeartIsAnAwesomePower', 'TheHero', 'HeroTropes', 'Heroes', 'HeroicSpirit', 'HiddenBadass', 'HiddenDepths', 'HiddenWeapons', 'Hologram', 'HomoeroticSubtext', 'HorrorComedy', 'HorrorWebcomics', 'HumanoidAbomination', 'HumansAreTheRealMonsters', 'HyperCompetentSidekick', 'IKnewIt', 'InHarmsWay', 'InTouchWithHisFeminineSide', 'IneffectualSympatheticVillain', 'IronWoobie', 'IronicEcho', 'Jossed', 'JustForPun', 'JustHereForGodzilla', 'KillEmAll', 'LaResistance', 'LadyOfWar', 'TheLancer', 'LethalChef', 'ListOfBadassTropes', 'TheLoad', 'LoadsAndLoadsOfCharacters', 'LogicalWeakness', 'LongHairIsFeminine', 'LotusEaterMachine', 'LoveDodecahedron', 'LoveInterests', 'LoveRedeems', 'MagicKnight', 'MagicalGirlTropes', 'MakingLoveInAllTheWrongPlaces', 'ManOfAThousandVoices', 'MartialArtsMovie', 'Mascot', 'MasculineGirlFeminineBoy', 'MeaningfulName', 'MenActWomenAre', 'MenAreTough', 'MirrorMatch', 'Misblamed', 'MissionControl', 'MixedAncestry', 'MuggingTheMonster', 'MysteriousWoman', 'TheNewTens', 'NewerThanTheyThink', 'TheNineties', 'NobleDemon', 'NoodleImplements', 'NordicNoir', 'OOCIsSeriousBusiness', 'OddballInTheSeries', 'OldMaid', 'OlderThanDirt', 'OnlyOneName', 'OurZombiesAreDifferent', 'OutOfFocus', 'OverdosedTropes', 'TheParentTrope', 'PassingTheTorch', 'PetAndAnimalCompanionTropes', 'PinkMeansFeminine', 'PintsizedPowerhouse', 'PlanetOfHats', 'PlotArmor', 'PoweredByAForsakenChild', 'PregnancyTropes', 'ProtagonistCenteredMorality', 'PutOnABus', 'RagtagBunchOfMisfits', 'RedBaron', 'Revenge', 'RightBehindMe', 'RippedFromTheHeadlines', 'RousingSpeech', 'RoyalsWhoActuallyDoSomething', 'RuleOfCool', 'SadlyMythtaken', 'SamusIsAGirl', 'SchmuckBait', 'SciFiWebcomics', 'SeasonalRot', 'SelfHarm', 'ShipTease', 'ShootTheHostage', 'ShoujoDemographic', 'ShowingUpChauvinists', 'SignatureStyle', 'SimpleYetAwesome', 'SingleWomanSeeksGoodMan', 'SissyVillain', 'SlidingScaleOfCharacterAppreciation', 'TheSmurfettePrinciple', 'SpotlightStealingSquad', 'SpyFiction', 'SquarePegRoundTrope', 'StarCrossedLovers', 'StayInTheKitchen', 'SteampunkIndex', 'StoryArc', 'Stripperiffic', 'StrippingTropes', 'StuffedIntoTheFridge', 'SuperSoldier', 'Superhero', 'SwordFight', 'TakingTheBullet', 'TemptingFate', 'ThanatosGambit', 'ThatCameOutWrong', 'ThemeNaming', 'ThisIndexIsNotAnExample', 'TimeImmemorialIndex', 'TomatoInTheMirror', 'Tomboy', 'TooCoolToLive', 'TrailersAlwaysSpoil', 'TurnOfTheMillennium', 'USCanadianComics', 'UnfortunateImplications', 'TheUnfought', 'UnintentionalPeriodPiece', 'VideogameCharacters', 'WeCanRuleTogether', 'WeNeedADistraction', 'WebSerialNovel', 'WeirdnessMagnet', 'WholePlotReference', 'WillTheyOrWontThey', 'WomanlinessAsPathos', 'WomenAreDelicate', 'WorksNeedingTropes', 'WritingPitfallIndex', 'YamatoNadeshiko', 'YouAreNumberSix', 'YouBastard', 'YuriGenre']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,female
BaldWomen,"['Bald', 'Women']","['bald', 'women']","[3.9, 7.12]",[],,"[-1, 2]",happy,"['BeautyEqualsGoodness', 'DragQueen', 'ExpositoryHairstyles', 'GenderDynamicsIndex', 'HairTropes', 'LongHairIsFeminine', 'TheNewTens', 'TheNineties', 'SingleWomanSeeksGoodMan', 'Tomboy']","['NarrativeTropes', 'TopicalTropes']",5.51,female
RealWomenDontWearDresses,"['Real', 'Women', 'Dont', 'Wear', 'Dresses']","['real', 'women', 'dont', 'dresses']","[6.78, 7.12, 3.7, 6.62]",['wear'],,"[1, 2, -2, 1]",happy,"['AcceptableFeminineGoalsAndTraits', 'ComplainingIndex', 'ContrastingSequelMainCharacter', 'DeadUnicornTrope', 'DeconstructionFic', 'DieForOurShip', 'DiscreditedTrope', 'DoubleStandard', 'DressesGownsAndSkirts', 'FairForItsDay', 'FemininityTropes', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'GenreKiller', 'HeWhoFightsMonsters', 'LongHairIsFeminine', 'MythologyGag', 'PimpedOutDress', 'PinkMeansFeminine', 'SquarePegRoundTrope', 'TastesLikeDiabetes', 'Tomboy', 'TomboyAndGirlyGirl', 'TropesInAggregate', 'WomanlinessAsPathos', 'WomenAreDelicate', 'WritingPitfallIndex', 'YourMom']","['NarrativeTropes', 'TopicalTropes']",6.06,female
CatGirl,"['Cat', 'Girl']","['cat', 'girl']","[6.64, 7.0]",[],TopicalTropes,"[1, 2]",happy,"['AchillesHeel', 'Analysis', 'AnimalAnthropomorphismTropes', 'AnimalStereotypes', 'ArbitrarySkepticism', 'AssShove', 'AwesomeButImpractical', 'BeastMan', 'BeautyEqualsGoodness', 'BellyDancer', 'BunnyEarsLawyer', 'CerebusRetcon', 'CrackPairing', 'CursedWithAwesome', 'CuteMonsterGirl', 'DemiHuman', 'DisneyVillainDeath', 'DivergentCharacterEvolution', 'DownloadableContent', 'EndOfAnAge', 'EvilIsSexy', 'ExtranormalInstitute', 'FantasyWebcomics', 'FurryWebcomics', 'GagPerDayWebcomics', 'GiveGeeksAChance', 'HaremGenre', 'HighFantasy', 'HistoryRepeats', 'HotSpringsEpisode', 'ICantBelieveItsNotHeroin', 'IndexOfFictionalCreatures', 'Iyashikei', 'LittleBitBeastly', 'LoveInterests', 'MeaningfulName', 'MedievalStasis', 'MetaWebcomics', 'Moe', 'NaturalWeapon', 'NiceJobFixingItVillain', 'NotQuiteHuman', 'OtokonokoGenre', 'OverdosedTropes', 'PaperThinDisguise', 'PettingZooPeople', 'PlanetOfHats', 'RedHerring', 'SciFiWebcomics', 'SequelHook', 'StayInTheKitchen', 'StoicWoobie', 'SuperMode', 'ThisIndexMeows', 'TrademarkFavoriteFood', 'TransformationSequence', 'Transhuman', 'UnisexTropes', 'UnusualEars', 'VerbalTic', 'VisualPun']",['TopicalTropes'],6.82,female
MenAreStrongWomenArePretty,"['Men', 'Are', 'Strong', 'Women', 'Are', 'Pretty']","['strong', 'women', 'pretty']","[7.06, 7.12, 7.32]","['men', 'are', 'are']",,"[2, 2, 2]",happy,"['Adorkable', 'Analysis', 'ApocalypticLog', 'TheBeautifulTropes', 'DaintyCombat', 'DelicateIsBeautiful', 'FemininityTropes', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'MasculinityTropes', 'MenActWomenAre', 'MenAreTough', 'Stereotype', 'StrengthIndex', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.17,
DaddysGirl,"['Daddys', 'Girl']",['girl'],[7.0],['daddys'],,[2],happy,"['ADayInTheLimelight', 'AdaptedOut', 'AlphaBitch', 'AlwaysFemale', 'BecomingTheMask', 'CharactersAsDevice', 'CommonKnowledge', 'DistaffCounterpart', 'DoubleStandard', 'DramaticIrony', 'TheEvilPrince', 'GiveGeeksAChance', 'GreenEyedMonster', 'IncestSubtext', 'LackOfEmpathy', 'MenActWomenAre', 'OffingTheOffspring', 'OlderThanFeudalism', 'OverdosedTropes', 'ThePasswordIsAlwaysSwordfish', 'ThePeteBest', 'SacrificialLamb', 'SonOfTropeDaughterOfIndex', 'StarCrossedLovers', 'Tomboy', 'WomanlinessAsPathos', 'YouAreBetterThanYouThinkYouAre']","['NarrativeTropes', 'TopicalTropes']",7.0,female
IHaveYourWife,"['I', 'Have', 'Your', 'Wife']",['wife'],[6.62],"['i', 'have', 'your']",,[1],happy,"['BeingTheHeroSucks', 'CainAndAbel', 'CerebusRetcon', 'DamselInDistress', 'DemonicPossession', 'DiscOneFinalBoss', 'DistressedDude', 'ExplainExplainOhCrap', 'FramingTheGuiltyParty', 'HumanSacrifice', 'HurtingHero', 'IHaveYourIndex', 'IKnowYourTrueName', 'ItsPersonal', 'JustForPun', 'LoveHurts', 'MemeticMolester', 'MenAreTough', 'TheMole', 'NarrativeDevices', 'NotHelpingYourCase', 'OutOfCharacterAlert', 'OverdosedTropes', 'RewardedAsATraitorDeserves', 'RhetoricalQuestionBlunder', 'RomanceArc', 'StockPhrases', 'StockholmSyndrome', 'Supervillain', 'TemptingFate', 'ThatCameOutWrong', 'ThreateningTropes', 'TheUnfettered', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.62,female
PrincessForADay,"['Princess', 'For', 'A', 'Day']",['princess'],[7.08],"['for', 'a', 'day']",,[2],happy,"['ActingForTwo', 'FairyTaleTropes', 'TheFool', 'TheMakeover', 'NarrativeDevices', 'PartyAtMyIndex', 'PimpedOutDress', 'PinkMeansFeminine', 'Plots', 'PrincessTropes']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.08,female
ValleyGirl,"['Valley', 'Girl']",['girl'],[7.0],['valley'],,[2],happy,"['AbhorrentAdmirer', 'AlphaBitch', 'AlwaysFemale', 'BareYourMidriff', 'CharactersAsDevice', 'ContrivedStupidityTropes', 'CulturalTranslation', 'DiscreditedTrope', 'DivergentCharacterEvolution', 'DownloadableContent', 'DysfunctionJunction', 'Eagleland', 'TheEighties', 'ExtraversionTropes', 'FauxAffablyEvil', 'FilmsOfThe1980s', 'FishOutOfWater', 'FiveManBand', 'ForgottenTrope', 'GenderBender', 'ImmaturityTropes', 'IndexedStatesOfAmerica', 'JustForPun', 'TheMakeover', 'MasculineGirlFeminineBoy', 'MotorMouth', 'NarmCharm', 'NationalStereotypes', 'TheNewestOnesInTheBook', 'ObfuscatingStupidity', 'OohMeAccentsSlipping', 'RealityIsUnrealistic', 'ReplacementScrappy', 'SelfDemonstratingArticle', 'Settings', 'SignificantWardrobeShift', 'StockCostumeTraits', 'StupidityTropes', 'TotallyRadical', 'VocalDissonance', 'WhatTheHellIsThatAccent', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.0,female
GirlyGirl,"['Girly', 'Girl']",['girl'],[7.0],['girly'],,[2],happy,"['ActionGirl', 'AlwaysFemale', 'BecomingTheMask', 'ComplainingIndex', 'DivergentCharacterEvolution', 'EvenTheGirlsWantHer', 'FemininityTropes', 'FiveManBand', 'Foil', 'FoodAsCharacterization', 'GenderAndSexualityTropes', 'HeartSymbol', 'TheLastOfTheseIsNotLikeTheOthers', 'LongHairIsFeminine', 'MeaningfulAppearance', 'MoreThanMeetsTheEye', 'PinkMeansFeminine', 'PragmaticAdaptation', 'PrincessTropes', 'SlidingScaleOfShinyVersusGritty', 'Stereotype', 'ThisUsedToBeAnIndex', 'Tomboy', 'TomboyAndGirlyGirl', 'UglinessTropes', 'UnfortunateImplications', 'YamatoNadeshiko']","['NarrativeTropes', 'TopicalTropes']",7.0,female
DirtyOldWoman,"['Dirty', 'Old', 'Woman']","['dirty', 'old', 'woman']","[3.2, 3.98, 6.84]",[],,"[-2, -1, 1]",not happy,"['AbhorrentAdmirer', 'AlwaysFemale', 'BigScrewedUpFamily', 'BrickJoke', 'CharactersAsDevice', 'ComedicReliefCharacters', 'DistaffCounterpart', 'Elders', 'FanDisservice', 'GilliganCut', 'MemeticMolester', 'SexualHarassmentAndRapeTropes', 'TropesAboutPerverts']","['NarrativeTropes', 'TopicalTropes']",4.67,female
EarthMother,"['Earth', 'Mother']",['mother'],[7.68],['earth'],TopicalTropes,[2],happy,"['ActualPlay', 'AlwaysFemale', 'GodTropes', 'StockGods', 'TropesOfNature', 'WomenAreDelicate']",['TopicalTropes'],7.68,female
IWantToBeARealMan,"['I', 'Want', 'To', 'Be', 'A', 'Real', 'Man']",['real'],[6.78],"['i', 'want', 'to', 'be', 'a', 'man']",,[1],happy,"['GenderDynamicsIndex', 'InTouchWithHisFeminineSide', 'MasculinityTropes', 'MenAreTough', 'MotivationIndex', 'WishFulfillment']","['NarrativeTropes', 'TopicalTropes']",6.78,male
MessyMaleFancyFemale,"['Messy', 'Male', 'Fancy', 'Female']","['messy', 'fancy', 'female']","[3.66, 6.96, 6.88]",['male'],TopicalTropes,"[-2, 2, 2]",happy,"['AnimalTropes', 'DuoTropes', 'MenAreTough', 'WomenAreDelicate']",['TopicalTropes'],5.83,
MenCantKeepHouse,"['Men', 'Cant', 'Keep', 'House']",['cant'],[3.48],"['men', 'keep', 'house']",,[-2],not happy,"['AlwaysMale', 'CharactersAsDevice', 'DiscreditedTrope', 'DisgustTropes', 'DoubleStandard', 'GenderDynamicsIndex', 'LethalChef', 'MasculinityTropes', 'MenAreTough', 'RealMenWearPink']","['NarrativeTropes', 'TopicalTropes']",3.48,male
MaidenAunt,"['Maiden', 'Aunt']",['aunt'],[6.66],['maiden'],,[1],happy,"['AlwaysFemale', 'CharactersAsDevice', 'Elders', 'GenerationalTropes', 'Jossed', 'OldMaid', 'TheSinglesIndex', 'VirginityTropes', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.66,female
PrincelyYoungMan,"['Princely', 'Young', 'Man']",['young'],[6.82],"['princely', 'man']",TopicalTropes,[1],happy,"['AlwaysMale', 'AnIndexOfLadiesAndGentlemen', 'Analysis', 'BrokenAce', 'DistaffCounterpart', 'FriendToAllChildren', 'HaremGenre', 'HighSchoolAU', 'InTouchWithHisFeminineSide', 'LoveInterests', 'MasculineGirlFeminineBoy', 'PrincelyTropes', 'RichKids', 'RichPeople']",['TopicalTropes'],6.82,male
ClingyJealousGirl,"['Clingy', 'Jealous', 'Girl']","['jealous', 'girl']","[2.68, 7.0]",['clingy'],,"[-3, 2]",not happy,"['AKindOfOne', 'AbhorrentAdmirer', 'AdaptationalWimp', 'AgeInappropriateArt', 'AlwaysFemale', 'BettyAndVeronica', 'BlatantLies', 'BunnyEarsLawyer', 'CharacterExaggeration', 'CharacterFlawIndex', 'CharactersAsDevice', 'TheChewToy', 'ClingyJealousGirl', 'CluelessChickMagnet', 'ComedicReliefCharacters', 'CuteMonsterGirl', 'DeconstructedCharacterArchetype', 'DieForOurShip', 'DistaffCounterpart', 'DysfunctionalRomanceIndex', 'EnvyAndJealousyTropes', 'EsotericHappyEnding', 'Flanderization', 'GiveGeeksAChance', 'GoddamnedBoss', 'TheGreatDepression', 'GreenEyedMonster', 'HaremGenre', 'Hypocrite', 'IfICantHaveYou', 'IncestSubtext', 'LoveAtFirstSight', 'LoveDodecahedron', 'LoveHurts', 'LoveInterests', 'LoveMakesYouEvil', 'LoveTropes', 'NotGoodWithRejection', 'ObsessionTropes', 'OlderThanFeudalism', 'OperationJealousy', 'OverdosedTropes', 'Polyamory', 'ProtagonistCenteredMorality', 'PsychologicalProjection', 'PutOnABus', 'RedHerring', 'RescuedFromTheScrappyHeap', 'RightBehindMe', 'SeasonalRot', 'ShipTease', 'ShootTheDog', 'SpotlightStealingSquad', 'StrangeMindsThinkAlike', 'Stripperiffic', 'StupidEvil', 'TokenGoodTeammate', 'TriangRelations', 'TheUnfairSex', 'WeUsedToBeFriends', 'WeirdnessMagnet', 'WomanlinessAsPathos', 'Yandere', 'YouWouldntLikeMeWhenImAngry']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",4.84,female
HotGuyUglyWife,"['Hot', 'Guy', 'Ugly', 'Wife']","['ugly', 'wife']","[2.74, 6.62]","['hot', 'guy']",,"[-3, 1]",not happy,"['AbhorrentAdmirer', 'TheBeautifulTropes', 'ComedyTropes', 'DistaffCounterpart', 'DuoTropes', 'Foil', 'IndexOfRomanticCouples', 'MarriageTropes', 'MenAreTough', 'UglinessTropes', 'WomenAreDelicate']","['GenreTropes', 'TopicalTropes']",4.68,
MenUseViolenceWomenUseCommunication,"['Men', 'Use', 'Violence', 'Women', 'Use', 'Communication']","['violence', 'women', 'communication']","[1.86, 7.12, 6.52]","['men', 'use', 'use']",,"[-4, 2, 1]",not happy,"['GenderDynamicsIndex', 'InTouchWithHisFeminineSide', 'MasculineGirlFeminineBoy', 'MenAreTough', 'ViolenceTropes', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",5.17,
PrincessProtagonist,"['Princess', 'Protagonist']",['princess'],[7.08],['protagonist'],,[2],happy,"['ChildrensShowTropes', 'ChivalricRomance', 'FairyTaleTropes', 'HeroTropes', 'Heroes', 'MagicalGirlTropes', 'TheNewTens', 'PrincessTropes', 'ProtagonistTropes', 'RhetoricalQuestionBlunder', 'TheXOfY']","['GenreTropes', 'MediaTropes', 'NarrativeTropes']",7.08,female
